K, d, Prediction Time, Prec, mPrec
50,2,170.71880923000026,0.807,0.688,0.589,0.002,0.016,0.036
50,3,99.26474121299907,0.807,0.673,0.577,0.002,0.012,0.027
55,2,151.56955836700035,0.807,0.686,0.589,0.003,0.015,0.037
55,3,89.00089391100119,0.807,0.666,0.567,0.002,0.012,0.028
60,2,153.0302049790007,0.799,0.683,0.593,0.002,0.015,0.035
60,3,84.41769621999993,0.638,0.530,0.455,0.005,0.017,0.031
65,2,146.25330957199913,0.808,0.689,0.589,0.003,0.016,0.036
65,3,89.02059895499951,0.026,0.036,0.044,0.001,0.003,0.007
70,2,146.1177194640004,0.807,0.690,0.591,0.002,0.015,0.036
70,3,77.79456090799977,0.807,0.649,0.550,0.002,0.010,0.023
75,2,158.40468093199888,0.811,0.689,0.590,0.002,0.016,0.037
75,3,81.87699092399998,0.800,0.635,0.528,0.001,0.008,0.017
80,2,145.73348673799956,0.810,0.687,0.590,0.002,0.016,0.036
80,3,89.47061589199984,0.797,0.646,0.538,0.002,0.009,0.021
85,2,140.87589011199998,0.801,0.684,0.591,0.002,0.014,0.035
85,3,80.21005979000074,0.792,0.639,0.539,0.002,0.011,0.023
90,2,133.22775150400048,0.808,0.685,0.591,0.002,0.015,0.036
90,3,88.71633068499978,0.801,0.636,0.532,0.002,0.010,0.021
95,2,121.4851231399989,0.810,0.689,0.588,0.003,0.016,0.035
95,3,82.86193047900088,0.803,0.627,0.507,0.001,0.007,0.015
100,2,147.04244449899852,0.809,0.685,0.590,0.002,0.015,0.035
100,3,84.44447598899933,0.796,0.622,0.505,0.001,0.009,0.019
105,2,127.62303992200032,0.809,0.687,0.591,0.002,0.016,0.036
105,3,87.33320620099948,0.800,0.632,0.528,0.002,0.009,0.021
110,2,132.73130760300046,0.807,0.687,0.590,0.002,0.015,0.036
110,3,91.79305930499868,0.801,0.628,0.520,0.001,0.009,0.020
115,2,131.00975243700123,0.808,0.688,0.589,0.003,0.015,0.035
115,3,81.08022845899904,0.799,0.625,0.512,0.001,0.009,0.018
120,2,140.22458007500063,0.808,0.683,0.590,0.002,0.015,0.035
120,3,93.16566453199994,0.790,0.611,0.502,0.001,0.007,0.016
125,2,133.8512903610008,0.816,0.687,0.589,0.002,0.015,0.036
125,3,90.77380493700002,0.564,0.454,0.379,0.002,0.009,0.016
130,2,133.59494823500063,0.809,0.685,0.588,0.002,0.014,0.033
130,3,88.63005812799929,0.798,0.611,0.499,0.001,0.008,0.016
135,2,123.12988515100005,0.807,0.682,0.587,0.002,0.015,0.034
135,3,88.41760856600013,0.805,0.577,0.446,0.001,0.007,0.014
140,2,140.2221603550006,0.808,0.688,0.589,0.002,0.016,0.035
140,3,85.49606119700002,0.795,0.606,0.494,0.001,0.007,0.014
145,2,130.61170233200028,0.806,0.681,0.590,0.002,0.014,0.033
145,3,84.30208229599884,0.802,0.620,0.503,0.001,0.006,0.014
150,2,131.19940122400112,0.805,0.679,0.589,0.002,0.014,0.033
150,3,92.52287389699995,0.075,0.133,0.197,0.001,0.007,0.025
K, d, Prediction Time, Prec, mPrec
